_id	count	open	high	low	close	volume	date	epoch	TradeDate	time	created_at	updated_at	ml1	ml2	ml3
611938fd0a5572bfc84cb230	0.0	676.46	678.9	675.25	675.25	9096.0	2021-07-06 04:15:00	1625544900.0	2021-07-06	04:15:00	2021-08-15 18:55:41.636	2021-08-15 18:55:41.636	0.0	0.0	0.0
611938ff0a5572bfc84cb231	1.0	675.0	676.0	675.0	675.99	8833.0	2021-07-06 04:30:00	1625545800.0	2021-07-06	04:30:00	2021-08-15 18:55:43.236	2021-08-15 18:55:43.236	0.0	0.0	0.0
611938ff0a5572bfc84cb232	2.0	675.96	675.96	675.96	675.96	128.0	2021-07-06 04:45:00	1625546700.0	2021-07-06	04:45:00	2021-08-15 18:55:43.495	2021-08-15 18:55:43.495	0.0	0.0	0.0
611938ff0a5572bfc84cb233	3.0	675.83	676.0	675.5	676.0	1428.0	2021-07-06 05:00:00	1625547600.0	2021-07-06	05:00:00	2021-08-15 18:55:43.753	2021-08-15 18:55:43.753	0.0	0.0	0.0
611939000a5572bfc84cb234	4.0	676.0	676.0	676.0	676.0	489.0	2021-07-06 05:15:00	1625548500.0	2021-07-06	05:15:00	2021-08-15 18:55:44.012	2021-08-15 18:55:44.012	0.0	0.0	0.0
611939000a5572bfc84cb235	5.0	675.83	676.0	675.83	676.0	1270.0	2021-07-06 05:30:00	1625549400.0	2021-07-06	05:30:00	2021-08-15 18:55:44.272	2021-08-15 18:55:44.272	0.0	0.0	0.0
611939000a5572bfc84cb236	6.0	677.0	677.0	675.0	675.9	3530.0	2021-07-06 05:45:00	1625550300.0	2021-07-06	05:45:00	2021-08-15 18:55:44.531	2021-08-15 18:55:44.531	0.0	0.0	0.0
611939000a5572bfc84cb237	7.0	675.9	676.5	675.9	676.5	1953.0	2021-07-06 06:00:00	1625551200.0	2021-07-06	06:00:00	2021-08-15 18:55:44.795	2021-08-15 18:55:44.795	0.0	0.0	0.0
611939010a5572bfc84cb238	8.0	676.25	676.25	676.2	676.2	1913.0	2021-07-06 06:15:00	1625552100.0	2021-07-06	06:15:00	2021-08-15 18:55:45.054	2021-08-15 18:55:45.054	0.0	0.0	0.0
611939010a5572bfc84cb239	9.0	676.2	676.2	675.9	675.95	1893.0	2021-07-06 06:30:00	1625553000.0	2021-07-06	06:30:00	2021-08-15 18:55:45.314	2021-08-15 18:55:45.314	0.0	0.0	0.0
611939010a5572bfc84cb23a	10.0	675.99	675.99	675.99	675.99	415.0	2021-07-06 06:45:00	1625553900.0	2021-07-06	06:45:00	2021-08-15 18:55:45.585	2021-08-15 18:55:45.585	0.0	0.0	0.0
611939010a5572bfc84cb23b	11.0	677.49	683.47	677.49	683.19	26244.0	2021-07-06 07:15:00	1625555700.0	2021-07-06	07:15:00	2021-08-15 18:55:45.844	2021-08-15 18:55:45.844	0.0	0.0	0.0
611939020a5572bfc84cb23c	12.0	683.0	683.65	682.61	683.35	19713.0	2021-07-06 07:30:00	1625556600.0	2021-07-06	07:30:00	2021-08-15 18:55:46.101	2021-08-15 18:55:46.101	0.0	0.0	0.0
611939020a5572bfc84cb23d	13.0	683.4	683.54	682.0	682.75	16383.0	2021-07-06 07:45:00	1625557500.0	2021-07-06	07:45:00	2021-08-15 18:55:46.362	2021-08-15 18:55:46.362	0.0	0.0	0.0
611939020a5572bfc84cb23e	14.0	682.5	682.62	682.0	682.25	7114.0	2021-07-06 08:00:00	1625558400.0	2021-07-06	08:00:00	2021-08-15 18:55:46.627	2021-08-15 18:55:46.627	0.0	0.0	0.0
611939020a5572bfc84cb23f	15.0	680.0	683.66	677.9999	681.2	26022.0	2021-07-06 08:15:00	1625559300.0	2021-07-06	08:15:00	2021-08-15 18:55:46.905	2021-08-15 18:55:46.905	0.0	0.0	0.0
611939030a5572bfc84cb240	16.0	681.0	681.2	678.5	680.48	39072.0	2021-07-06 08:30:00	1625560200.0	2021-07-06	08:30:00	2021-08-15 18:55:47.167	2021-08-15 18:55:47.167	0.0	0.0	0.0
611939030a5572bfc84cb241	17.0	680.48	682.5	680.48	682.0	16649.0	2021-07-06 08:45:00	1625561100.0	2021-07-06	08:45:00	2021-08-15 18:55:47.424	2021-08-15 18:55:47.424	0.0	0.0	0.0
611939030a5572bfc84cb242	18.0	682.0	682.5	681.36	681.7999	17360.0	2021-07-06 09:00:00	1625562000.0	2021-07-06	09:00:00	2021-08-15 18:55:47.688	2021-08-15 18:55:47.688	0.0	0.0	0.0
611939030a5572bfc84cb243	19.0	681.8	682.62	681.5	682.62	12972.0	2021-07-06 09:15:00	1625562900.0	2021-07-06	09:15:00	2021-08-15 18:55:47.970	2021-08-15 18:55:47.970	0.0	0.0	0.0
611939040a5572bfc84cb244	20.0	682.62	682.62	681.99	681.99	25920.0	2021-07-06 09:30:00	1625563800.0	2021-07-06	09:30:00	2021-08-15 18:55:48.229	2021-08-15 18:55:48.229	0.0	0.0	0.0
611939040a5572bfc84cb245	21.0	681.7115	684.0	665.09	666.15	2733547.0	2021-07-06 09:45:00	1625564700.0	2021-07-06	09:45:00	2021-08-15 18:55:48.497	2021-08-15 18:55:48.497	0.0	0.0	0.0
611939040a5572bfc84cb246	22.0	665.9401	666.5	657.5764	662.41	2674043.0	2021-07-06 10:00:00	1625565600.0	2021-07-06	10:00:00	2021-08-15 18:55:48.771	2021-08-15 18:55:48.771	0.0	0.0	0.0
611939050a5572bfc84cb247	23.0	662.2773	663.98	659.68	662.9	1390120.0	2021-07-06 10:15:00	1625566500.0	2021-07-06	10:15:00	2021-08-15 18:55:49.036	2021-08-15 18:55:49.036	0.0	0.0	0.0
611939050a5572bfc84cb248	24.0	662.91	666.66	662.275	665.17	1348240.0	2021-07-06 10:30:00	1625567400.0	2021-07-06	10:30:00	2021-08-15 18:55:49.306	2021-08-15 18:55:49.306	0.0	0.0	0.0
611939050a5572bfc84cb249	25.0	665.08	666.02	661.0	664.43	943772.0	2021-07-06 10:45:00	1625568300.0	2021-07-06	10:45:00	2021-08-15 18:55:49.566	2021-08-15 18:55:49.566	0.0	0.0	0.0
611939050a5572bfc84cb24a	26.0	664.42	667.5	663.43	663.83	999633.0	2021-07-06 11:00:00	1625569200.0	2021-07-06	11:00:00	2021-08-15 18:55:49.824	2021-08-15 18:55:49.824	0.0	0.0	0.0
611939060a5572bfc84cb24b	27.0	663.96	665.3	662.03	662.44	651573.0	2021-07-06 11:15:00	1625570100.0	2021-07-06	11:15:00	2021-08-15 18:55:50.085	2021-08-15 18:55:50.085	0.0	0.0	0.0
611939060a5572bfc84cb24c	28.0	662.28	663.12	660.8001	661.8	673748.0	2021-07-06 11:30:00	1625571000.0	2021-07-06	11:30:00	2021-08-15 18:55:50.348	2021-08-15 18:55:50.348	0.0	0.0	0.0
611939060a5572bfc84cb24d	29.0	661.9475	663.1462	659.2	659.4767	635016.0	2021-07-06 11:45:00	1625571900.0	2021-07-06	11:45:00	2021-08-15 18:55:50.606	2021-08-15 18:55:50.606	0.0	0.0	0.0
611939060a5572bfc84cb24e	30.0	659.44	659.53	655.582	657.8807	945412.0	2021-07-06 12:00:00	1625572800.0	2021-07-06	12:00:00	2021-08-15 18:55:50.865	2021-08-15 18:55:50.865	0.0	0.0	0.0
611939070a5572bfc84cb24f	31.0	657.51	657.9796	653.2501	654.1745	930435.0	2021-07-06 12:15:00	1625573700.0	2021-07-06	12:15:00	2021-08-15 18:55:51.124	2021-08-15 18:55:51.124	0.0	0.0	0.0
611939070a5572bfc84cb250	32.0	654.225	655.7545	651.4002	654.57	926544.0	2021-07-06 12:30:00	1625574600.0	2021-07-06	12:30:00	2021-08-15 18:55:51.382	2021-08-15 18:55:51.382	0.0	0.0	0.0
611939070a5572bfc84cb251	33.0	654.4	655.59	652.34	653.49	574378.0	2021-07-06 12:45:00	1625575500.0	2021-07-06	12:45:00	2021-08-15 18:55:51.643	2021-08-15 18:55:51.643	0.0	0.0	0.0
611939070a5572bfc84cb252	34.0	653.51	655.49	652.52	655.01	448776.0	2021-07-06 13:00:00	1625576400.0	2021-07-06	13:00:00	2021-08-15 18:55:51.905	2021-08-15 18:55:51.905	0.0	0.0	0.0
611939080a5572bfc84cb253	35.0	655.06	656.0	653.716	655.4604	454115.0	2021-07-06 13:15:00	1625577300.0	2021-07-06	13:15:00	2021-08-15 18:55:52.165	2021-08-15 18:55:52.165	0.0	0.0	0.0
611939080a5572bfc84cb254	36.0	655.45	657.84	655.29	657.2067	555117.0	2021-07-06 13:30:00	1625578200.0	2021-07-06	13:30:00	2021-08-15 18:55:52.426	2021-08-15 18:55:52.426	0.0	0.0	0.0
611939080a5572bfc84cb255	37.0	657.115	658.14	655.21	657.8663	407522.0	2021-07-06 13:45:00	1625579100.0	2021-07-06	13:45:00	2021-08-15 18:55:52.691	2021-08-15 18:55:52.691	0.0	0.0	0.0
